user;date;text;location;retweeter_usr
benhaygood;Thu Feb 10 23:55:15 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";Timeline: Current Events ;KatyaYushchenko
IngloriousSadhu;Thu Feb 10 23:55:01 +0000 2022;"RT @palkisu: 🧵 War or not, Ukraine is losing. Here’s why:
Ukraine gave up nukes for security guarantees 3 decades ago (Budapest Agreement).…";नशा;KatyaYushchenko
TDoyleCarasol;Thu Feb 10 23:54:59 +0000 2022;RT @JCBua: As Biden Might Say “No Joke” Lester Holt asked Biden what scenario could prompt him to send troops to rescue Americans fleeing t…;London, United Kingdom;KatyaYushchenko
ChrisDa84505756;Thu Feb 10 23:54:42 +0000 2022;RT @ASBMilitary: If you look past the NATO propaganda: Georgia and Ukraine will never be NATO members. Russia made sure of it in 2008 and i…;Haiti;KatyaYushchenko
Dakota_Mom2;Thu Feb 10 23:54:23 +0000 2022;RT @NBCNewsPR: In the @NBCNews exclusive interview with @LesterHoltNBC, President Biden warned Americans in Ukraine to leave and said that…;United States;KatyaYushchenko
hrcsupervol01;Thu Feb 10 23:54:14 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";United States;KatyaYushchenko
Josephi58042571;Thu Feb 10 23:54:01 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Sheffield, England;KatyaYushchenko
SojournerMrs;Thu Feb 10 23:53:58 +0000 2022;RT @JenniferJJacobs: “American citizens should leave now,” Biden told @LesterHoltNBC on Ukraine, due to Russian troops on border. “We’re de…;Dawg;KatyaYushchenko
harryriedl;Thu Feb 10 23:53:58 +0000 2022;"RT @worldonalert: Russian trolls before Russia invades Ukraine: ""Russia will never invade Ukraine! US wants war!""

Russian trolls when Russ…";London ;KatyaYushchenko
ChrisOttoLNP;Thu Feb 10 23:53:56 +0000 2022;RT @JenniferJJacobs: “American citizens should leave now,” Biden told @LesterHoltNBC on Ukraine, due to Russian troops on border. “We’re de…;Covering Lancaster & York, Pa.;KatyaYushchenko
Mafindi_jnr;Thu Feb 10 23:53:45 +0000 2022;RT @DefenseNigeria: For example, when Russian Foreign Minister Sergei Lavrov’s accused Turkey of encouraging the war in Donbass, Turkey ret…;Nigeria;KatyaYushchenko
AlanRealized;Thu Feb 10 23:53:21 +0000 2022;"RT @NatashaBertrand: ""American citizens should leave [Ukraine] now,"" Biden told NBC.
“It’s not like we’re dealing with a terrorist organiza…";Oregon, USA;KatyaYushchenko
sfoxofs;Thu Feb 10 23:53:14 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Hackney, London;KatyaYushchenko
Dim114;Thu Feb 10 23:53:11 +0000 2022;RT @NPR: Russia launched what's being called its largest military exercise since the Cold War. The timing and position of the exercise have…;Украина;KatyaYushchenko
